PAID;FECHA_REGISTRO;UNIDAD_NOMBRE;PROYECTO_RNPC;UNIDAD_DEPARTAMENTO;DESTINO_DEPARTAMENTO;DESTINO_CIUDAD;ATENCION_TIPO_TRAMITE;ATENCION_DESTINO;ATENCION_TEMA;ATENCION_MOTIVO;ATENCION_ESTADO;PERSONA_RANGO_EDAD;PERSONA_CONDICION_DISCAPACIDAD;PERSONA_POBLACION_ESPECIAL;PERSONA_GENERO;PERSONA_PROFESION;PERSONA_ACEPTA_HABEAS_DATA;TIPO_EMPRESA;EMPRESA_TIPO_DOCUMENTO;EMPRESA_RAZON_SOCIAL;ESTADO_SERVICIO;CAUSAL;TIPO_PRODUCTO;NOMBRE_PRODUCTO;VALOR_PRODUCTO;FECHA_ADQUISICION;FECHA_ULTIMO_ENCUENTRO;FECHA_FIN_ULTIMO_ENCUENTRO;FECHA_FIN_REAL;ENCUENTRO_ACORDADO;FECHA_CONTRATO;DURACION
615062;21/01/2022;CB SAN CRISTOBAL;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SAN CRISTOBAL;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Técnico;SI;INFORMAL;;ARTEMUEBLES;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;FABRICACION SOPORTE CAMA;220000;30/03/2021 0:00;31/01/2022;1/02/2022;1/02/2022;SI;1/02/2022 14:35;11
365005;5/03/2021;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Abandono de bienes;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;LAVINS MOBILIARIO;CERRADO;Incumplimiento contractual;Bien;cama de 1.40x190 tapizada;180000;3/12/2020 0:00;10/03/2021;10/03/2021;10/03/2021;SI;10/03/2021 11:05;5
317494;28/10/2020;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Ninguno                                  ;SI;INFORMAL;;cell productions;CERRADO;Información o publicidad engañosa;Bien;celular;100000;2/10/2020 0:00;28/10/2020;25/02/2021;25/02/2021;SI;25/02/2021 13:25;120
325526;11/11/2020;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Información o publicidad engañosa;Incumplimiento en la entrega de la información mínima del bien o servicio;Ciudadano Atendido;41-59 años;Ninguna ;No indica;Mujer;Bachiller              ;SI;FORMAL;NIT;AUTOS DEL CASTILLO BOGOTA;CERRADO;Información o publicidad engañosa;Bien;Vehiculo;22500000;29/11/2019 0:00;26/11/2020;26/11/2020;26/11/2020;SI;26/11/2020 11:32;15
458104;14/07/2021;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Profesional;SI;INFORMAL;;centro de servicios digital center;CERRADO;Incumplimiento de la garantía;Servicio;televisor 60 pulgadas marca LG;2600000;16/05/2018 0:00;5/08/2021;5/08/2021;5/08/2021;SI;5/08/2021 12:39;22
355852;17/02/2021;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;MAJAI CASA DE MODAS;CERRADO;Incumplimiento contractual;Bien;alquiler de vestido negro para celebracion de 15 años ;300000;23/01/2020 0:00;3/03/2021;13/07/2021;13/07/2021;SI;13/07/2021 10:11;146
434675;15/06/2021;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Mujer;Tecnólogo;SI;INFORMAL;;DIANA CAROLINA GIL FIGUEROA;CERRADO;Incumplimiento de la garantía;Servicio;curso de semipermanente ;1400000;13/01/2021 0:00;29/06/2021;13/07/2021;13/07/2021;SI;13/07/2021 9:57;28
597118;25/11/2021;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;LILIANA INES LOZANO OROZCO;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;SERVICIO DE REPARACION DE MOTOCICLETA TVS SPORT;INDETERMINADO;9/10/2021 0:00;2/12/2021;2/12/2021;2/12/2021;SI;2/12/2021 11:58;7
497924;23/08/2021;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;VALENTINA CASTAÑO BUITRAGO;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;fabricacion de un armario ;450000;26/02/2021 0:00;30/08/2021;30/08/2021;30/08/2021;SI;30/08/2021 14:58;7
452329;7/07/2021;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;No indica;Hombre;Bachiller              ;SI;FORMAL;NIT;MATERIALES EL SILENCIO SAS;CERRADO;Incumplimiento de la garantía;Bien;MEDIDOR Y/O CONTADOR DE AGUA ;158500;10/07/2018 0:00;22/07/2021;23/07/2021;23/07/2021;SI;23/07/2021 14:07;16
